NM_MUN,bairro,n_setores,pop,casos,taxa,cum_casos_pct,cum_pop_pct
Ribeirão Pires,Pouso Alegre,9,4063,7.0,34.45729756337681,17.90778927176817,23.93510479992127
Caieiras,Centro,11,4871,7.0,28.74153151303634,17.923774291521088,23.958824190233113
Ribeirão Pires,Roncon,10,6490,7.0,21.571648690292758,17.939759311274006,23.990427319595437
Santo André,Cata Preta,11,6781,7.0,20.645922430320013,17.955744331026924,24.023447476792033
São Caetano do Sul,São José,19,7645,7.0,18.312622629169393,17.971729350779842,24.060674891888322
Santo André,Vila Humaitá,14,6864,7.0,20.396270396270396,17.98771437053276,24.09409921853593
Santo André,Vila Helena,16,9342,7.0,14.9860843502462,18.003699390285675,24.139590194576428
Santo André,Vila Guaraciaba,11,5525,7.0,25.339366515837103,18.019684410038593,24.16649424538179
Ribeirão Pires,São Caetaninho,6,3650,6.0,32.87671232876713,18.03338585554109,24.18426796220344
Santo André,Centro,13,3703,6.0,32.406157169862276,18.047087301043593,24.202299763132356
Santo André,Vila Luzita,10,4441,6.0,27.020941229452827,18.060788746546095,24.223925263517266
Ribeirão Pires,Km 4,3,1303,6.0,92.0951650038373,18.074490192048597,24.230270236947018
Osasco,Jardim das Flores,21,9265,6.0,12.951969778737183,18.088191637551095,24.27538626060525
Santo André,Vila Príncipe de Gales,12,5389,6.0,22.267582111709036,18.101893083053596,24.30162805785233
