NM_MUN,fcu,n_setores,pop,casos,taxa,cum_pct
Franco da Rocha,Jaboticabal,1,384,10.0,520.8333333333333,52.570740517760385
São Paulo,Nossa Senhora Aparecida / Jardim Aurora,3,1798,10.0,111.23470522803115,52.69114990969296
São Paulo,Jardim Celeste II,5,2856,10.0,70.0280112044818,52.81155930162552
São Paulo,Jardim das Rosas III / Jardim Macedônia,2,994,10.0,201.2072434607646,52.9319686935581
São Paulo,Sevilha,3,1832,10.0,109.17030567685589,53.05237808549067
São Bernardo do Campo,Parque São Bernardo,11,5095,10.0,39.25417075564279,53.17278747742324
São Paulo,Jacupeval,8,2032,10.0,98.4251968503937,53.29319686935581
São Paulo,Chácara Sonho Azul - A,8,3936,10.0,50.81300813008131,53.41360626128838
São Paulo,Sapé,6,3627,10.0,55.141990625861595,53.534015653220955
São Paulo,Vila Aimore,2,690,10.0,289.8550724637681,53.654425045153516
São Paulo,Morro Doce III,1,188,10.0,1063.8297872340424,53.77483443708609
São Paulo,Morada do Sol,3,1528,10.0,130.89005235602096,53.89524382901867
São Paulo,Gregório Pomar,1,380,10.0,526.3157894736842,54.01565322095123
Carapicuíba,Comunidade do Cemitério,3,1288,10.0,155.27950310559004,54.136062612883805
São Paulo,Boulevard da Paz,14,6131,10.0,32.6211058554885,54.25647200481638
Carapicuíba,Rua Berlim / Parque Sampaio,3,1291,10.0,154.91866769945779,54.37688139674894
São Paulo,Piemonteses/ Cidade Nova,2,1468,10.0,136.23978201634876,54.49729078868152
São Paulo,Roland Berigan,5,1548,10.0,129.19896640826875,54.617700180614094
São Paulo,Jardim Luso,7,3924,10.0,50.96839959225281,54.738109572546655
São Paulo,Esperantinópolis,4,1996,10.0,100.2004008016032,54.85851896447923
Itapevi,Jardim Santa Rita (Rua Egito),2,1319,10.0,151.6300227445034,54.97892835641181
São Paulo,Leandro Donati,2,1598,10.0,125.15644555694618,55.09933774834437
Mauá,Jardim Éden,7,3630,10.0,55.09641873278236,55.219747140276944
São Paulo,Jardim Ibirapuera,11,4324,9.0,41.628122109158184,55.32811559301626
São Paulo,Favela do Tamanduatei,1,997,9.0,180.54162487462386,55.43648404575558
Guarulhos,Núcleo Parque Mikail (Campo da Paz),4,2782,9.0,64.70165348670022,55.544852498494876
São Paulo,"Nossa Senhora da Assunção I, II, III",3,2299,9.0,78.294910830796,55.653220951234196
Mauá,Núcleo Jardim Eden,5,3540,9.0,50.847457627118644,55.76158940397351
São Paulo,Vila das Pratas / Vila das Pratas II,3,1294,9.0,139.1035548686244,55.86995785671283
Diadema,Cangati / Jóquei / Camarupim / Carapeba,3,1171,9.0,153.71477369769428,55.97832630945214
São Paulo,Pullman II,6,3083,9.0,58.384690236782355,56.08669476219145
Guarulhos,Jardim dos Cardosos,4,3008,9.0,59.840425531914896,56.19506321493076
Carapicuíba,Vila São Jorge,3,1695,9.0,106.19469026548673,56.303431667670075
Carapicuíba,Vila Municipal II,2,1556,9.0,115.68123393316196,56.411800120409396
São Paulo,Jardim Maria Luiza,3,1878,9.0,95.84664536741214,56.52016857314871
São Paulo,Guapira I / Planalto da Torres,8,5240,9.0,34.35114503816794,56.628537025888015
São Paulo,Paquetá II,2,1350,9.0,133.33333333333334,56.73690547862733
São Paulo,Abacateiro,5,2850,9.0,63.1578947368421,56.84527393136665
São Paulo,Jardim da Paz,9,3994,9.0,45.06760140210315,56.95364238410596
Guarulhos,Jardim Presidente Dutra III,4,1668,9.0,107.91366906474819,57.062010836845275
Carapicuíba,Comunidade Savoy,8,3427,9.0,52.52407353370295,57.17037928958458
Guarulhos,Jardim Nova Cidade/Normandia,5,2205,9.0,81.63265306122449,57.2787477423239
São Paulo,Morro da Lua / Clara Aurora,5,2522,9.0,71.37192704203014,57.387116195063214
São Paulo,Parque Santo Antônio VI,4,1939,9.0,92.83135636926251,57.49548464780253
Taboão da Serra,Jardim Comunitário,3,2359,9.0,76.30351844001696,57.60385310054185
Guarulhos,Cidade Tupinambá,8,3550,9.0,50.70422535211268,57.712221553281154
São Paulo,Boi Malhado I,2,2212,9.0,81.374321880651,57.82059000602047
São Paulo,Córrego do Bispo,3,1528,9.0,117.80104712041884,57.92895845875978
Itaquaquecetuba,Quinta da Boa Vista,13,6737,9.0,26.71812379397358,58.0373269114991
Osasco,Vicentina - AA,5,1935,9.0,93.0232558139535,58.145695364238414
Diadema,Vila Popular,5,4076,9.0,44.16094210009813,58.25406381697772
São Paulo,Vila Hortência / Gleba,7,3687,9.0,48.82017900732303,58.36243226971703
São Paulo,Iguaçu,5,2055,9.0,87.5912408759124,58.47080072245635
São Paulo,Jardim São Luis II,1,377,9.0,477.45358090185675,58.579169175195666
Suzano,Cidade Miguel Badra Jaguari Gleba 2,4,1560,9.0,115.3846153846154,58.68753762793498
São Paulo,Juraci Artacho,4,2833,8.0,56.477232615601835,58.78386514148104
São Paulo,Jardim Peri / Peri Novo I,3,1934,8.0,82.7300930713547,58.880192655027095
São Paulo,Tijolinhos da Mooca,1,661,8.0,242.0574886535552,58.976520168573145
São Paulo,Jardim Jaçanã,3,1065,8.0,150.23474178403757,59.0728476821192
São Paulo,Lagoa da Serra,3,1270,8.0,125.98425196850393,59.16917519566526
São Paulo,Coréia,2,765,8.0,209.15032679738565,59.26550270921132
São Paulo,Paquetá I,5,3104,8.0,51.54639175257732,59.36183022275737
São Paulo,Seringais,2,1437,8.0,111.34307585247043,59.45815773630343
São Paulo,Vila Dania Mungo Park,3,1510,8.0,105.96026490066225,59.554485249849485
São Paulo,Rio Claro,4,1957,8.0,81.75779253960143,59.65081276339554
Taboão da Serra,Jardim Maria Luiza,3,1733,8.0,92.32544720138488,59.7471402769416
São Paulo,Jardim Santa Josefina,6,1979,8.0,80.84891359272359,59.84346779048766
São Paulo,Vilma Flor,3,1028,8.0,155.64202334630352,59.939795304033716
São Paulo,Estrada da Ligação,2,1321,8.0,121.12036336109009,60.03612281757977
São Paulo,Mata da Juta,4,2115,8.0,75.6501182033097,60.13245033112583
São Paulo,Chácara São Fidelis / Tomé,6,2711,8.0,59.01881224640354,60.22877784467189
São Paulo,Núcleo B - São Francisco Global,6,2928,8.0,54.6448087431694,60.32510535821795
São Paulo,Parque Amélia / Santa Margarida,4,1511,8.0,105.89013898080742,60.421432871764004
São Paulo,Jardim Orly II,3,1683,8.0,95.06833036244801,60.51776038531005
São Paulo,Jardim Evana,3,1256,8.0,127.38853503184713,60.614087898856106
Carapicuíba,Chácara La Roca,1,1117,8.0,143.2408236347359,60.71041541240216
São Paulo,Maria Zilo Augusto / Manuel da Paixão,6,3164,8.0,50.56890012642225,60.80674292594822
Ferraz de Vasconcelos,Vila Jamil,7,2916,8.0,54.86968449931413,60.90307043949428
São Paulo,Nicarágua,4,1581,8.0,101.20177103099304,60.99939795304034
Ferraz de Vasconcelos,Vila Cristina,4,2533,8.0,63.16620607974733,61.095725466586394
São Bernardo do Campo,Jardim Laura,7,3766,8.0,42.485395645246946,61.19205298013245
Suzano,Jardim Gardênia Azul,10,5363,8.0,29.834048107402573,61.28838049367851
São Paulo,Goiti,1,797,8.0,200.75282308657464,61.38470800722457
São Paulo,Marconi Curuça,3,2106,8.0,75.97340930674264,61.48103552077062
São Paulo,Maria Cursi,2,1113,8.0,143.75561545372867,61.577363034316676
Guarulhos,Núcleo Jardim Crepúsculo,3,1618,8.0,98.8875154511743,61.67369054786273
São Paulo,Jardim Celeste,5,1986,8.0,80.56394763343404,61.77001806140879
Franco da Rocha,Ouro Preto,1,723,8.0,221.30013831258643,61.86634557495485
São Paulo,Jardim Campos II,2,499,8.0,320.64128256513027,61.96267308850091
São Paulo,Recanto da Alegria I e II,5,965,8.0,165.80310880829015,62.05900060204696
São Paulo,Morumbi Sul,2,1200,8.0,133.33333333333334,62.15532811559301
São Paulo,Funerária,2,978,8.0,163.59918200408998,62.251655629139066
São Paulo,Vila Nascente,6,2848,8.0,56.17977528089888,62.34798314268512
São Paulo,Recanto Eric,2,1171,8.0,136.63535439795046,62.44431065623118
São Paulo,Cidade A. E. Carvalho,2,2354,8.0,67.96941376380629,62.54063816977724
São Paulo,Ocupação Promorar / São Francisco Global,8,4741,8.0,33.74815439780637,62.6369656833233
São Paulo,Quaresma Delgado,2,634,8.0,252.3659305993691,62.733293196869354
São Paulo,Jardim Campo Limpo,9,4280,8.0,37.38317757009346,62.82962071041541
São Paulo,Cachoeira das Garças,2,1118,8.0,143.11270125223612,62.92594822396147
São Paulo,Futuro Melhor,6,2292,8.0,69.80802792321117,63.02227573750753
Diadema,Caviúna,10,4822,8.0,33.181252592285354,63.118603251053585
São Paulo,Conjunto Habitacional Guaianases C,4,2166,8.0,73.86888273314865,63.21493076459964
São Paulo,Jardim São Jorge,3,2072,8.0,77.22007722007721,63.3112582781457
São Paulo,Jardim Imbé II,2,1464,8.0,109.2896174863388,63.40758579169176
São Paulo,Albacora,2,662,8.0,241.6918429003021,63.503913305237816
São Paulo,Jardim Por do Sol I / Joana D'Arc,3,2773,8.0,57.699242697439594,63.60024081878386
Guarulhos,Cidade Jardim Cumbica II,7,4597,8.0,34.80530780944094,63.69656833232992
São Paulo,Vila Santo Antônio,4,3055,8.0,52.37315875613748,63.792895845875975
São Paulo,Jardim Varginha II,12,2969,7.0,47.15392388009431,63.87718242022877
Taboão da Serra,Jardim Saint Moritz II,6,2524,7.0,55.467511885895405,63.96146899458158
Osasco,Morro do Sabão - A,5,2838,7.0,49.33051444679352,64.04575556893438
São Paulo,Rua Antônio Rodrigues da Silva Júnior,1,203,7.0,689.6551724137931,64.13004214328718
São Paulo,Santo Antônio do Canindé,1,528,7.0,265.1515151515152,64.21432871763997
São Paulo,Paranapanema V,4,1392,7.0,100.57471264367815,64.29861529199277
São Paulo,Jardim Pouso Alegre,3,1346,7.0,104.01188707280832,64.38290186634558
São Paulo,Vila Joaniza,4,1382,7.0,101.30246020260492,64.46718844069838
São Paulo,Paratinim,4,3246,7.0,43.13000616142945,64.55147501505117
São Paulo,Vila Natal,2,1039,7.0,134.7449470644851,64.63576158940397
São Paulo,Jardim Santo André / Parque das Flores,5,3035,7.0,46.12850082372323,64.72004816375677
São Bernardo do Campo,Jardim Silvina Aldi,11,5004,7.0,27.97761790567546,64.80433473810957
São Paulo,Jardim Rincão I,4,1478,7.0,94.72259810554803,64.88862131246236
Osasco,Pinheirinho,2,822,7.0,170.31630170316302,64.97290788681516
São Paulo,Jardim Rebouças,4,1576,7.0,88.83248730964468,65.05719446116797
São Paulo,Córrego da Mina,6,3240,7.0,43.20987654320988,65.14148103552077
São Paulo,Jardim Dionízio,4,1924,7.0,72.76507276507277,65.22576760987357
São Paulo,Parque Residencial Cocaia A,3,1214,7.0,115.32125205930808,65.31005418422637
São Paulo,Sítio Itaberaba II / J. Silvestre,4,2521,7.0,55.53351844506148,65.39434075857918
São Paulo,Gruta das Princesas,6,1391,7.0,100.647016534867,65.47862733293198
